pitcher,game_date,spin_rate,n_pitches
"Buehler, Walker",2021-04-03,2633.579242424,66
"Buehler, Walker",2021-04-09,2643.678103448,58
"Buehler, Walker",2021-04-16,2682.81525,40
"Buehler, Walker",2021-04-22,2666.007058824,51
"Buehler, Walker",2021-04-27,2623.098611111,36
"Buehler, Walker",2021-05-05,2572.311395349,43
"Buehler, Walker",2021-05-11,2584.136222222,45
"Buehler, Walker",2021-05-17,2649.011081081,37
"Buehler, Walker",2021-05-22,2598.532419355,62
"Buehler, Walker",2021-05-28,2629.933421053,38
"Buehler, Walker",2021-06-02,2630.763103448,58
"Buehler, Walker",2021-06-08,2554.584878049,41
"Buehler, Walker",2021-06-13,2562.950769231,52
"Buehler, Walker",2021-06-19,2467.184651163,43
"Buehler, Walker",2021-06-24,2327.798888889,45
"Buehler, Walker",2021-06-29,2339.489090909,44
"Buehler, Walker",2021-07-05,2373.126875,48
"Buehler, Walker",2021-07-10,2386.71325,40
"Buehler, Walker",2021-07-17,2462.505789474,38
"Buehler, Walker",2021-07-22,2367.578076923,26
"Buehler, Walker",2021-07-28,2350.26125,40
"Buehler, Walker",2021-08-03,2356.232631579,38
"Buehler, Walker",2021-08-08,2328.94195122,41
"Buehler, Walker",2021-08-14,2333.068947368,57
"Buehler, Walker",2021-08-20,2320.447631579,38
"Buehler, Walker",2021-08-25,2362.86,54
"Buehler, Walker",2021-08-31,2301.041481481,27
"Buehler, Walker",2021-09-05,2362.614,10
"Buehler, Walker",2021-09-11,2327.973589744,39
"Buehler, Walker",2021-09-17,2349.480714286,28
"Buehler, Walker",2021-09-22,2332.175609756,41
"Buehler, Walker",2021-09-28,2312.252173913,49
"Buehler, Walker",2021-10-03,2326.567096774,31
"Hearn, Taylor",2021-04-01,2192.148928571,28
"Hearn, Taylor",2021-04-06,2331.974615385,28
"Hearn, Taylor",2021-04-09,2293.516842105,19
"Hearn, Taylor",2021-04-12,2274.283529412,34
"Hearn, Taylor",2021-04-15,2251.24,11
"Hearn, Taylor",2021-04-17,2257.259166667,12
"Hearn, Taylor",2021-04-20,2278.960967742,31
"Hearn, Taylor",2021-04-25,2243.487777778,9
"Hearn, Taylor",2021-05-01,2280.0,28
"Hearn, Taylor",2021-05-06,2238.909375,16
"Hearn, Taylor",2021-05-09,2248.0452,25
"Hearn, Taylor",2021-05-14,2205.670588235,17
"Hearn, Taylor",2021-05-19,2238.460909091,11
