county,lon,lat,diabetes_pct,obesity_pct
Alamance,-79.3994760246283,36.0436739846115,12.2,38.5
Alexander,-81.1770332718611,35.9204725331462,12.7,36.5
Alleghany,-81.1272787621881,36.4916227409052,16.0,36.5
Anson,-80.1026872705448,34.9736529585894,17.2,43.3
Ashe,-81.5005505989795,36.4341479679829,14.0,36.2
Avery,-81.9225713884377,36.0766997215744,12.9,37.1
Beaufort,-76.8589373781447,35.4941226525086,15.6,36.8
Bertie,-76.9765261847155,36.066157443707,19.3,43.0
Bladen,-78.5631528118713,34.6142975484762,16.6,41.3
Brunswick,-78.2376597098153,34.0703788434431,13.5,32.8
Buncombe,-82.530385679713,35.6109780509856,10.9,31.3
Burke,-81.70486114808,35.7494843806822,13.8,36.8
Cabarrus,-80.5518327021882,35.3869793087838,10.8,33.3
Caldwell,-81.5466545637271,35.9530956685159,13.2,33.4
Camden,-76.2049603642896,36.3863407828493,10.7,35.2
Carteret,-76.6542732540305,34.8273639547444,12.5,34.0
Caswell,-79.333539673756,36.393167608535,15.5,39.3
Catawba,-81.2149250535504,35.6622179779733,12.1,37.4
Chatham,-79.2552206168112,35.7026752604208,12.9,30.1
Cherokee,-84.0637476312268,35.1337276354312,15.2,34.8
Chowan,-76.6081998621462,36.1488065523219,17.0,40.4
Clay,-83.7497979844905,35.0571247338988,14.3,35.3
Cleveland,-81.5554731480207,35.3336676514711,13.6,38.6
Columbus,-78.6551028425544,34.2655540076522,15.6,41.1
Craven,-77.0916632156451,35.1237779325124,12.5,36.9
Cumberland,-78.8276708613151,35.0486561560424,12.2,40.1
Currituck,-76.0039069482098,36.4032422089498,10.7,34.5
Dare,-75.7824832328063,35.7631926889993,11.2,31.6
Davidson,-80.2126241733172,35.79334763177,12.7,36.2
Davie,-80.5445531639191,35.9288732524121,12.1,33.4
Duplin,-77.9328634793398,34.9363853110288,15.5,39.4
Durham,-78.8762704368696,36.0359200892271,10.5,36.1
Edgecombe,-77.5971756410996,35.913040080039,17.9,43.7
Forsyth,-80.2562678118814,36.1306194708921,12.4,41.2
Franklin,-78.2855965915324,36.0827093866128,12.8,38.8
Gaston,-81.1801972591213,35.2943611535336,12.3,36.2
Gates,-76.7006756971434,36.4450179921853,15.8,39.0
Graham,-83.8330304431855,35.3499181619087,13.1,35.1
Granville,-78.6528560993089,36.3038620044075,13.6,36.2
Greene,-77.6758039116837,35.4849054091072,15.9,42.8
Guilford,-79.7889017999481,36.079488692501,12.2,38.0
