play_id,game_pk,pitcher_id,pitcher_name,is_strike,bats,throws,location_x,location_z
1c74e893-003f-4db5-88eb-29111b0fbaeb,717567,592836,Walker_Taijuan,0,R,R,-1.579,3.787
329a79a2-f7ca-4593-a9c3-a74f1866ef2c,718652,592836,Walker_Taijuan,0,R,R,-0.855,2.801
887ea6a7-e13a-4a3e-abec-bd21c5325c69,717397,592836,Walker_Taijuan,1,R,R,1.015,1.956
918f02cc-2c0e-4355-a834-9451fd5549c4,717664,592836,Walker_Taijuan,0,R,R,1.024,3.143
fe21ec8d-b8bc-4fd5-893b-3a2a1cdccead,717664,592836,Walker_Taijuan,0,R,R,0.646,2.437
a6db0a52-361e-4cd3-8b0d-c68a46d72581,717934,592836,Walker_Taijuan,0,L,R,-0.834,3.313
9f78cfcc-91bb-401a-8bde-84c3200ee029,716720,592836,Walker_Taijuan,0,R,R,0.436,1.486
e860e210-0e49-4160-9929-8b9a6b440484,718019,592836,Walker_Taijuan,1,R,R,-0.795,2.672
b092c6da-b1b1-4118-8ae5-a143c5d019d9,718510,592836,Walker_Taijuan,0,R,R,1.169,1.469
4619e16b-b778-4893-8c35-4e2050fcb9a6,717934,592836,Walker_Taijuan,0,L,R,-1.732,2.2
9d081efb-ba12-4453-9572-885beec8e059,717934,592836,Walker_Taijuan,0,R,R,-1.532,1.573
0ed2b1d3-8348-49bc-8323-727ea2979fdc,717806,592836,Walker_Taijuan,1,L,R,0.014,2.144
cadf5d9c-a2d4-47f6-952c-fd867f9fa041,717113,592836,Walker_Taijuan,1,R,R,0.117,3.031
d40d164f-553c-4767-a99f-5a106e63a531,718143,592836,Walker_Taijuan,0,R,R,-0.261,1.261
953f90bd-b2b4-4b64-84ec-8e35e063531c,716376,592836,Walker_Taijuan,0,L,R,-0.947,1.715
69e055f6-4f1e-45ae-84f6-b4f6e5f682f5,717735,592836,Walker_Taijuan,1,L,R,0.075,2.029
81d3e872-2b26-440c-a31c-8274da80ba9d,718270,592836,Walker_Taijuan,0,R,R,0.603,3.951
0be916dc-a8e5-451f-91b6-0019c671371f,717664,592836,Walker_Taijuan,0,L,R,-1.411,4.088
ff5f0d7b-e021-4a5c-b35a-b556798c6ee2,718652,592836,Walker_Taijuan,1,R,R,0.661,2.068
37ff02f7-6606-4bbc-a062-f6505df5fc6d,717267,592836,Walker_Taijuan,0,L,R,-0.044,1.652
65420976-8dde-48e7-bfe9-91c535c4bf5b,718725,592836,Walker_Taijuan,0,R,R,-0.567,1.083
8b297731-3271-4146-9f12-9afa367871c5,717806,592836,Walker_Taijuan,0,R,R,-0.277,4.081
d24c6e81-3934-44fb-a54e-6d2240d8ba82,717735,592836,Walker_Taijuan,0,L,R,1.299,1.446
1bb7a190-ea7d-4f31-9e50-65ae2319d1b9,717567,592836,Walker_Taijuan,1,L,R,-0.21,1.712
3551ee06-0444-496c-8262-eb68fae1e82d,716541,592836,Walker_Taijuan,0,L,R,-1.353,4.173
bb5c0c63-9c2a-42d3-85c5-8a07b3e7c146,717329,592836,Walker_Taijuan,1,R,R,0.144,2.021
e5193ccf-8cdf-44b1-a52a-c77a50ff063b,718270,592836,Walker_Taijuan,0,R,R,0.052,0.736
a91fe4b0-7fda-4bc2-ab12-efa22d538605,717656,592836,Walker_Taijuan,0,R,R,-0.065,1.187
7de43ff0-78ad-49f7-a89b-6442bb52239f,717934,592836,Walker_Taijuan,0,R,R,0.759,1.464
86aadeb1-b207-457a-92da-5c5687495437,717806,592836,Walker_Taijuan,0,R,R,-0.223,0.226
3df3ff7d-9993-4c37-a77b-d699468518e7,718343,592836,Walker_Taijuan,0,R,R,1.072,1.612
fa06c981-9165-49ca-88c0-f2881ca0431f,717113,592836,Walker_Taijuan,0,L,R,0.678,0.937
91a0da8d-6d98-40ce-98f7-74af93682a7f,718143,592836,Walker_Taijuan,0,L,R,-1.593,1.768
3fcd87e5-70d6-48e0-899f-d52682e1050e,717113,592836,Walker_Taijuan,0,L,R,0.999,1.318
